"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"91","Bobby Bradley*","26","CLE","8","17","-3","0","0","-1","0","-4","-0.4","1","-4","-0.4",".444",".497","-0.3","-0.1","-2","","Amateur Draft","/3H"
"92","Jackie Bradley Jr.*","32","2TM","124","353","-18","-2","2","6","-2","-14","-1.5","12","-2","-0.4",".488",".494","-1.0","0.4","-8","$9,500,000","Traded","*98/H1"
"93","Michael Brantley*","35","HOU","64","277","7","-1","0","1","-4","3","0.3","9","12","1.2",".504",".502","1.1","-0.3","11","$16,000,000","Free Agency","D7"
"94","Rob Brantly*","32","NYY","1","3","0","0","0","0","0","0","0.0","0","0","0.0",".534",".500","0.0","0.0","0","","Free Agency","/2"
"95","Matt Brash","24","SEA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"96","Alex Bregman","28","HOU","143","607","25","0","-2","-3","4","24","2.6","21","45","4.6",".518",".516","5.0","0.0","48","$13,000,000","Amateur Draft","*5/H"
"97","Jonah Bride","26","OAK","49","168","-5","0","-1","0","1","-5","-0.6","6","1","0.0",".489",".497","0.0","0.1","1","","Amateur Draft","45/H3D"
"98","Lewis Brinson","28","SFG","16","39","-1","0","0","-2","0","-2","-0.2","1","-1","-0.1",".485",".499","0.1","-0.2","1","","Traded","8/H7"
"99","Mike Brosseau","28","MIL","61","143","4","0","0","-4","1","2","0.2","5","6","0.6",".503",".501","1.0","-0.3","10","","Traded","5H/613D"
"100","Seth Brown*","29","OAK","136","499","7","2","1","-3","-7","0","0.0","17","17","1.7",".500",".500","2.0","-1.1","20","","Amateur Draft","397H/8D"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"101","Justin Bruihl*","25","LAD","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Free Agent","1"
"102","Vidal Brujan#","24","TBR","49","154","-10","-1","0","1","0","-9","-1.0","5","-4","-0.5",".480",".494","-0.6","0.1","-5","","Amateur Free Agent","49/H658D7"
"103","Kris Bryant","30","COL","42","181","6","0","-1","-5","-2","-2","-0.2","6","4","0.4",".495",".499","0.9","-0.7","9","$18,000,000","Free Agency","7D"
"104","Aaron Bummer*","28","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$2,500,000","Amateur Draft","1"
"105","Peyton Burdick","25","MIA","26","92","-5","0","0","-3","0","-8","-0.8","3","-5","-0.6",".468",".495","-0.2","-0.3","-2","","Amateur Draft","87/9"
"106","Jake Burger","26","CHW","51","183","1","-1","-1","-5","0","-6","-0.7","6","0","-0.1",".487",".496","0.5","-0.5","5","","Amateur Draft","5/DH4"
"107","Alec Burleson*","23","STL","8","26","-2","0","0","0","0","-3","-0.3","1","-2","-0.2",".466",".498","-0.2","0.0","-2","","Amateur Draft","/9D7"
"108","Byron Buxton","28","MIN","92","382","17","1","1","8","-1","26","2.7","13","39","4.0",".530",".517","3.2","0.7","31","$9,142,857","Amateur Draft","8D/H"
"109","Miguel Cabrera","39","DET","103","397","-8","-1","-1","0","-9","-20","-2.2","14","-6","-0.8",".479",".487","-0.8","-1.0","-6","$32,000,000","Traded","*D/H"
"110","Oswaldo Cabrera#","23","NYY","29","115","-3","-2","0","9","-1","4","0.5","4","8","0.9",".517",".503","-0.1","0.9","-1","","Free Agency","9/6357H4"
