"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"319","Yadiel HernÃ¡ndez*","34","WSN","94","327","4","-3","0","-3","-4","-6","-0.6","11","5","0.5",".493",".496","0.8","-0.7","8","","Amateur Free Agent","7DH/9"
"320","Yonny Hernandez#","24","ARI","12","28","-4","1","0","2","0","-1","-0.1","1","0","0.0",".493",".499","-0.2","0.2","-2","","Traded","5/4H"
"321","Ivan Herrera","22","STL","11","22","-3","0","0","-1","0","-3","-0.4","1","-3","-0.3",".467",".498","-0.2","-0.1","-2","","Free Agency","2"
"322","Jose Herrera#","25","ARI","47","124","-10","0","0","1","3","-6","-0.7","4","-2","-0.3",".486",".496","-0.4","0.4","-3","","Free Agency","2/DH"
"323","Odubel Herrera*","30","PHI","62","197","-3","0","0","-3","1","-5","-0.5","7","2","0.2",".492",".497","0.5","-0.2","5","$1,750,000","Free Agency","87H/9"
"324","Jason Heyward*","32","CHC","48","151","-7","0","0","-3","0","-11","-1.1","5","-6","-0.7",".476",".493","-0.4","-0.3","-3","$22,000,000","Free Agency","89/H"
"325","Brewer Hicklen","26","KCR","6","4","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".480",".499","-0.1","0.0","-1","","Amateur Draft","/H798"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"326","Aaron Hicks#","32","NYY","120","420","-5","1","-1","2","0","-2","-0.3","14","12","1.1",".498",".498","0.9","0.2","10","$10,785,714","Traded","*87H/D"
"327","Kyle Higashioka","32","NYY","75","219","-10","-1","0","0","4","-7","-0.7","7","1","0.0",".490",".496","0.0","0.4","1","$935,000","Free Agency","2/HD"
"328","P.J. Higgins","29","CHC","68","202","-2","-1","0","-3","0","-6","-0.6","7","1","0.0",".491",".496","0.3","-0.3","4","","Free Agency","32H/5D"
"329","Derek Hill","26","DET","31","92","-5","1","1","4","1","1","0.2","3","5","0.5",".505",".501","0.0","0.5","0","","Amateur Draft","8/H"
"330","Sam Hilliard*","28","COL","70","200","-12","1","1","9","-2","-3","-0.3","7","4","0.4",".496",".498","-0.6","0.8","-5","","Amateur Draft","78/H9"
"331","Keston Hiura","25","MIL","71","239","7","0","0","-3","-3","1","0.1","8","9","0.9",".501",".500","1.2","-0.6","12","","Amateur Draft","3D4/H7"
"332","Nico Hoerner","25","CHC","125","477","7","2","1","11","7","28","3.0","16","44","4.5",".524",".518","3.3","1.9","33","","Amateur Draft","*6/H5"
"333","Jeff Hoffman","29","CIN","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$925,000","Traded","1"
"334","Rhys Hoskins","29","PHI","142","609","17","-5","0","3","-7","8","0.9","20","28","2.8",".506",".505","2.4","-0.4","25","$7,700,000","Amateur Draft","*3/DH"
"335","Eric Hosmer*","32","2TM","102","414","6","-1","0","-4","-5","-4","-0.4","14","10","1.0",".496",".499","1.4","-0.9","14","$21,000,000","Traded","3"
"336","Sam Huff","24","TEX","36","105","-3","0","0","-4","1","-5","-0.6","4","-2","-0.2",".485",".497","0.2","-0.3","2","","Amateur Draft","2/H3D"
"337","Brandon Hughes#","26","CHC","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"338","Cooper Hummel#","27","ARI","63","189","-8","1","0","-1","-1","-9","-0.9","6","-3","-0.3",".485",".494","-0.2","-0.2","-2","","Traded","7HD2/9"
"339","Tommy Hunter","35","NYM","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Free Agency","1"
"340","Andy IbÃ¡Ã±ez","29","TEX","40","128","-7","0","1","2","0","-5","-0.5","4","0","-0.1",".488",".497","-0.3","0.2","-2","","Amateur Free Agent","5/D34H"
"341","JosÃ© Iglesias","32","COL","114","451","-3","-1","1","-4","6","-1","-0.1","15","14","1.4",".499",".499","1.8","0.3","18","$5,000,000","Free Agency","*6/D"
"342","Ender Inciarte*","31","NYM","11","8","-1","0","0","1","0","-1","-0.1","0","0","0.0",".494",".500","-0.1","0.1","-1","","","/7H89D"
"343","Jonathan India","25","CIN","92","388","-2","-3","0","-13","2","-16","-1.6","13","-2","-0.3",".482",".490","1.0","-1.1","11","","Amateur Draft","4D/H"
"344","Kyle Isbel*","25","KCR","94","250","-13","1","0","7","-2","-7","-0.7","9","2","0.1",".492",".496","-0.6","0.5","-5","","Amateur Draft","987H/D"
"345","Alex Jackson","26","MIL","5","12","-1","0","0","0","0","-1","-0.1","0","0","0.0",".485",".500","0.0","0.0","0","","Traded","/2H"
"346","Drew Jackson","28","OAK","3","3","-1","0","0","0","0","-1","-0.1","0","-1","-0.1",".471",".499","-0.1","0.0","-1","","Free Agency","/957H"
"347","Travis Jankowski*","31","2TM","44","64","-4","0","1","1","-1","-3","-0.3","2","-1","-0.1",".492",".498","-0.3","0.0","-2","$1,250,000","Free Agency","7H98/D"
"348","Danny Jansen","27","TOR","60","207","8","0","0","5","4","17","1.8","7","24","2.5",".530",".511","1.9","0.9","19","$1,950,000","Amateur Draft","2/HD"
"349","Ryan Jeffers","25","MIN","60","214","-3","1","0","1","3","2","0.2","7","10","1.0",".504",".502","0.9","0.5","9","","Amateur Draft","2/DH"
"350","Eloy JimÃ©nez","25","CHW","73","287","16","0","0","-2","-4","9","0.9","10","19","1.9",".513",".506","2.2","-0.7","21","$7,333,333","Traded","D7/H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"351","Connor Joe","29","COL","109","463","-5","0","-1","4","-6","-6","-0.6","16","10","0.9",".494",".496","0.4","-0.1","6","","Free Agency","7D39/H"
"352","Bryce Johnson#","26","SFG","8","16","-3","0","0","-1","0","-4","-0.4","1","-3","-0.4",".450",".498","-0.3","-0.1","-2","","Amateur Draft","/897"
"353","Nolan Jones*","24","CLE","28","94","-1","-1","0","1","-1","-2","-0.2","3","1","0.1",".492",".499","0.0","0.0","0","","Amateur Draft","9/DH"
"354","Taylor Jones","28","HOU","1","1","0","0","0","0","0","0","0.0","0","0","",".472",".500","","0.0","0","","Amateur Draft","/H"
"355","Aaron Judge","30","NYY","143","636","76","1","-2","1","-2","75","7.7","21","95","9.7",".554",".548","9.7","-0.1","94","$19,000,000","Amateur Draft","*89D/H"
"356","Josh Jung","24","TEX","11","44","0","0","0","1","0","1","0.1","2","2","0.2",".508",".501","0.1","0.1","1","","Amateur Draft","5/D"
"357","James Kaprielian","28","OAK","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".489",".500","0.0","0.0","0","","Traded","1/DH"
"358","Gosuke Katoh*","27","TOR","8","11","0","0","0","0","0","0","0.0","0","1","0.1",".504",".500","0.1","0.0","1","","Free Agency","/3H4D"
"359","Jarred Kelenic*","22","SEA","40","123","-10","0","0","4","-1","-7","-0.8","4","-3","-0.4",".479",".495","-0.8","0.3","-7","","Traded","98/HD7"
"360","Carson Kelly","27","ARI","92","315","-8","0","0","4","6","2","0.3","11","13","1.2",".502",".501","0.8","1.0","9","$3,325,000","Traded","2/H1D"
"361","Tony Kemp*","30","OAK","134","512","-5","2","0","-4","1","-6","-0.7","17","11","1.0",".495",".496","1.5","-0.4","15","$2,250,000","Traded","47H/D"
"362","Buddy Kennedy","23","ARI","29","90","-2","0","0","0","0","-2","-0.2","3","1","0.1",".494",".499","0.1","0.1","1","","Amateur Draft","4/HD5"
"363","Ian Kennedy","37","ARI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$4,750,000","Free Agency","1"
"364","Max Kepler*","29","MIN","115","446","-2","0","3","8","-3","6","0.6","15","21","2.1",".505",".504","1.3","0.5","13","$6,750,000","Amateur Free Agent","*9/H8D"
"365","Kevin Kiermaier*","32","TBR","63","221","-2","1","1","2","1","4","0.4","8","11","1.1",".506",".502","0.9","0.4","9","$12,166,666","Amateur Draft","8/DH"
"366","Ha-Seong Kim","26","SDP","137","527","4","1","1","12","8","25","2.7","18","43","4.4",".519",".516","3.1","2.1","31","$6,000,000","Free Agency","*65/H"
"367","Craig Kimbrel","34","LAD","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"368","Isiah Kiner-Falefa","27","NYY","131","490","-8","1","0","9","8","10","1.0","17","26","2.7",".508",".506","1.7","1.7","17","$4,700,000","Traded","*6/5H"
"369","Scott Kingery","28","PHI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$6,250,000","Amateur Draft","/4"
"370","Alex Kirilloff*","24","MIN","45","156","-2","-1","0","-2","-2","-7","-0.8","5","-2","-0.3",".482",".495","-0.1","-0.5","0","","Amateur Draft","73/9DH"
"371","Alejandro Kirk","23","TOR","127","494","22","-5","0","3","1","21","2.2","17","38","3.9",".518",".514","3.6","0.4","35","","Amateur Free Agent","2DH"
"372","Andrew Knapp#","30","3TM","16","46","-4","0","0","0","1","-3","-0.4","2","-2","-0.2",".478",".499","-0.2","0.1","-2","$800,000","Free Agency","2/H"
"373","Andrew Knizner","27","STL","85","253","-6","0","-2","1","5","-2","-0.2","9","7","0.6",".498",".499","0.5","0.6","6","","Amateur Draft","2/H3D1"
"374","Mark Kolozsvary","26","CIN","10","21","-1","1","0","0","0","0","0.0","1","1","0.1",".504",".500","0.1","0.1","1","","Amateur Draft","/2H"
"375","Joey Krehbiel","29","BAL","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Waivers","1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"376","Ryan Kreidler","24","DET","15","53","-3","1","0","5","1","4","0.4","2","6","0.6",".529",".503","0.1","0.6","1","","Amateur Draft","/564"
"377","Jason Krizan*","33","SFG","3","10","-1","0","0","0","0","-1","-0.1","0","0","0.0",".473",".499","0.0","0.0","0","","Free Agency","/7"
"378","Joel Kuhnel","27","CIN","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"379","Steven Kwan*","24","CLE","134","578","15","2","2","13","-4","27","2.8","19","46","4.7",".521",".518","3.4","0.9","33","","Amateur Draft","*79/8HD"
"380","Tommy La Stella*","33","SFG","60","195","-6","0","0","-3","-4","-13","-1.4","7","-6","-0.7",".477",".491","-0.4","-0.7","-3","$5,250,000","Free Agency","DH/534"
"381","Juan Lagares","33","LAA","20","62","-6","0","0","-4","0","-10","-1.1","2","-8","-0.9",".445",".493","-0.5","-0.5","-4","","Free Agency","/987H"
"382","Jake Lamb*","31","2TM","41","111","0","-1","-1","-2","-2","-5","-0.6","4","-2","-0.2",".486",".498","0.0","-0.5","0","$100,000","Free Agency","D/7H3"
"383","Jimmy Lambert","27","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"384","Shea Langeliers","24","OAK","28","107","-5","0","0","-2","-1","-9","-1.0","4","-5","-0.6",".466",".494","-0.4","-0.3","-3","","Traded","D2"
"385","Trevor Larnach*","25","MIN","51","180","0","0","0","8","-2","6","0.6","6","12","1.2",".513",".504","0.4","0.6","4","","Amateur Draft","79/DH"
"386","Jack Larsen*","27","SEA","1","1","0","0","0","0","0","0","0.0","0","0","0.0",".471",".500","0.0","0.0","0","","Free Agency","/9"
"387","Ramon Laureano","27","OAK","94","383","-1","1","1","-2","-2","-4","-0.4","13","10","0.9",".496",".498","1.1","-0.5","12","$2,450,000","Traded","98/DH"
"388","Bryan Lavastida","23","CLE","6","15","-1","0","0","0","0","-1","-0.1","1","-1","-0.1",".480",".499","-0.1","0.0","-1","","Amateur Draft","/2"
"389","Charles Leblanc","26","MIA","38","134","4","-1","0","-2","1","2","0.2","5","7","0.7",".506",".501","0.9","-0.1","9","","Waivers","45/3HD"
"390","Khalil Lee*","24","NYM","2","2","1","0","0","-1","0","0","0.0","0","0","0.0",".508",".500","0.1","-0.1","1","","Traded","/8"
"391","Korey Lee","23","HOU","12","26","-3","0","0","-3","1","-5","-0.6","1","-4","-0.5",".453",".497","-0.2","-0.3","-1","","Amateur Draft","2/H"
"392","DJ LeMahieu","33","NYY","120","523","12","-1","0","8","0","19","2.0","17","36","3.7",".517",".512","2.8","0.9","28","$15,000,000","Free Agency","543/HD"
"393","Sandy Leon#","33","2TM","32","83","-4","-1","0","-3","2","-7","-0.8","3","-4","-0.5",".476",".497","-0.2","-0.1","-1","","Purchased","2/1"
"394","Josh Lester*","27","DET","2","5","-1","0","0","0","0","-1","-0.2","0","-1","-0.1",".426",".499","-0.1","0.0","-1","","Amateur Draft","/5DH"
"395","Kyle Lewis","26","SEA","18","62","-3","0","0","1","-1","-3","-0.3","2","-1","-0.1",".483",".498","-0.2","0.0","-2","","Amateur Draft","D/H97"
"396","Royce Lewis","23","MIN","12","41","2","0","0","0","1","2","0.2","1","3","0.3",".516",".501","0.3","0.1","3","","Amateur Draft","6/8"
"397","Luis Liberato*","26","SDP","6","5","-1","0","0","0","0","-2","-0.2","0","-1","-0.1",".473",".499","-0.1","0.0","-1","","Free Agency","/HD879"
"398","Matthew Liberatore*","22","STL","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","/1"
"399","Francisco Lindor#","28","NYM","149","655","23","1","1","-1","9","33","3.5","21","54","5.5",".523",".521","5.6","0.9","55","$34,100,000","Traded","*6/D"
"400","Jonathan Loaisiga","27","NYY","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$1,650,000","Free Agency","1"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"401","Tim Locastro","29","NYY","35","42","-3","1","0","-2","-1","-5","-0.5","1","-3","-0.4",".486",".497","-0.1","-0.3","-1","$900,000","Free Agency","H7/89D"
"402","Evan Longoria","36","SFG","82","278","0","-1","-1","-2","0","-3","-0.3","10","7","0.6",".496",".498","0.8","-0.2","8","$19,666,667","Traded","5DH"
"403","Christian Lopes","29","OAK","4","10","-2","0","0","0","0","-2","-0.2","0","-2","-0.2",".440",".499","-0.2","0.0","-2","","Free Agency","/4HD79"
"404","Alejo Lopez#","26","CIN","49","122","0","1","1","-2","0","-1","-0.1","4","3","0.3",".498",".500","0.5","-0.2","5","","Amateur Draft","4H/D5719"
"405","Jorge Lopez","29","2TM","4","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$1,500,000","Waivers","1"
"406","Nicky Lopez*","27","KCR","133","458","-18","3","3","-10","5","-17","-1.8","16","-1","-0.3",".487",".489","0.8","-0.5","9","$2,550,000","Amateur Draft","465H/D1"
"407","Otto Lopez","23","TOR","3","0","0","0","0","0","0","0","0.0","0","0","0.0",".501",".500","0.0","0.0","0","","Amateur Free Agent","/H8D"
"408","Reynaldo Lopez","28","CHW","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$2,625,000","Traded","1"
"409","Brandon Lowe*","27","TBR","65","266","1","-1","1","-1","1","1","0.1","9","10","1.0",".502",".501","1.1","-0.1","11","$4,000,000","Amateur Draft","4D/H9"
"410","Josh Lowe*","24","TBR","52","198","-4","0","0","2","-2","-4","-0.4","7","3","0.3",".493",".498","0.1","0.0","1","","Amateur Draft","97/8DH"
"411","Nathaniel Lowe*","26","TEX","142","586","30","-5","1","-8","-7","11","1.1","20","31","3.1",".508",".507","4.0","-1.7","39","","Traded","*3/DH"
"412","Jed Lowrie#","38","OAK","50","184","-11","0","-1","-1","-4","-16","-1.8","6","-10","-1.2",".464",".489","-1.1","-0.5","-9","$850,000","Free Agency","D/H34"
"413","Seth Lugo","32","NYM","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$2,925,000","Amateur Draft","1"
"414","Jordan Luplow","28","ARI","78","218","-7","0","0","2","-3","-8","-0.8","7","0","-0.1",".489",".495","-0.3","0.0","-2","$1,400,000","Traded","9H7/D835"
"415","Gavin Lux*","24","LAD","119","434","6","1","2","-1","2","10","1.1","15","25","2.5",".509",".507","2.6","0.2","26","","Amateur Draft","47/H6D"
"416","Daniel Lynch*","25","KCR","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"417","Dixon Machado","30","SFG","5","17","-1","0","0","1","0","0","0.0","1","1","0.1",".507",".500","0.0","0.1","0","","Traded","/6"
"418","Manny Machado","29","SDP","137","588","39","2","0","-5","2","38","4.0","20","58","5.8",".529",".524","6.3","-0.3","63","$32,000,000","Free Agency","*5D/H"
"419","Vimael Machin*","28","OAK","63","220","-3","-1","-1","-5","1","-8","-0.9","8","-1","-0.2",".486",".495","0.4","-0.4","4","","Purchased","5/H4D6"
"420","David MacKinnon","27","2TM","22","57","-5","1","0","0","0","-5","-0.6","2","-3","-0.4",".473",".498","-0.4","-0.1","-3","","Amateur Draft","3/H5"
"421","Nick Madrigal","25","CHC","59","228","-8","1","0","4","2","-1","-0.1","8","7","0.6",".498",".499","0.2","0.6","2","","Traded","4/H"
"422","Bligh Madris*","26","PIT","39","123","-9","0","1","-4","-2","-13","-1.4","4","-9","-1.0",".464",".491","-0.6","-0.6","-5","","Amateur Draft","9/37HD8"
"423","Luke Maile","31","CLE","69","188","-3","-2","0","0","4","-1","-0.1","6","6","0.6",".499",".500","0.6","0.4","6","$900,000","Free Agency","2"
"424","Martin Maldonado","35","HOU","104","353","-14","-2","-1","-1","7","-11","-1.3","12","1","-0.1",".488",".492","0.1","0.6","2","$5,000,000","Traded","*2"
"425","Trey Mancini","30","2TM","132","550","8","-1","0","3","-9","1","0.1","18","20","1.9",".501",".502","1.7","-0.7","17","$7,500,000","Amateur Draft","D379/H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"426","Tucupita Marcano*","22","PIT","48","176","-11","0","1","-1","0","-11","-1.2","6","-5","-0.6",".475",".493","-0.5","-0.1","-4","","Traded","74/H96"
"427","Manuel Margot","27","TBR","77","310","6","3","0","1","-3","7","0.7","11","17","1.7",".510",".505","1.7","-0.2","16","$5,600,000","Traded","9D8/7H"
"428","Jake Marisnick","31","PIT","31","82","-1","0","0","1","0","-1","0.0","3","2","0.2",".498",".500","0.1","0.1","1","","Free Agency","87/H9"
"429","Deven Marrero","31","NYM","5","6","-2","0","0","-1","0","-2","-0.2","0","-2","-0.2",".452",".499","-0.1","-0.1","-1","","Free Agency","/65DH"
"430","Brandon Marsh*","24","2TM","122","415","-9","1","1","6","-2","-3","-0.3","14","12","1.1",".498",".498","0.5","0.5","6","","Amateur Draft","78/H9"
"431","Ketel Marte#","28","ARI","131","533","3","1","-1","-5","0","-2","-0.1","18","17","1.6",".499",".499","2.1","-0.5","22","$8,400,000","Traded","4D/H"
"432","Starling Marte","33","NYM","118","505","20","0","0","3","-4","19","2.1","17","36","3.7",".517",".512","3.3","0.0","33","$15,750,000","Free Agency","*9/8HD"
"433","Brett Martin*","27","TEX","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$1,025,000","Amateur Draft","1"
"434","Chris Martin","36","LAD","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","1"
"435","Richie Martin","27","BAL","13","33","-2","-1","0","1","0","-1","-0.1","1","0","0.0",".490",".499","-0.1","0.1","-1","","Rule 5 Draft","4/H6D"
"436","J.D. Martinez","34","BOS","126","547","8","-4","-2","0","-11","-8","-0.9","18","10","0.9",".493",".495","0.9","-1.2","10","$19,350,000","Free Agency","*D"
"437","Michael Massey*","24","KCR","42","152","2","0","1","-2","1","1","0.1","5","7","0.6",".503",".501","0.9","-0.1","8","","Amateur Draft","4/HD5"
"438","Jorge Mateo","27","BAL","135","484","-10","5","0","11","8","13","1.4","17","30","3.0",".511",".509","1.9","2.0","19","","Waivers","*6/H"
"439","Mark Mathias","27","2TM","25","79","5","1","1","1","-1","6","0.7","3","9","0.9",".527",".503","0.8","0.0","8","","Traded","/4"
"440","J.J. Matijevic*","26","HOU","32","71","-2","1","0","0","-2","-3","-0.3","2","0","-0.1",".490",".498","-0.1","-0.2","0","","Amateur Draft","HD3/7"
"441","Nick Maton*","25","PHI","26","69","6","0","0","2","0","8","0.8","2","10","1.0",".530",".505","0.8","0.2","8","","Amateur Draft","/7495H1"
"442","Jack Mayfield","31","LAA","23","74","-5","1","0","1","0","-3","-0.3","3","0","-0.1",".487",".498","-0.2","0.1","-1","","Purchased","4/5H97D1"
"443","Nomar Mazara*","27","SDP","55","171","0","-1","0","-2","-1","-4","-0.4","6","2","0.1",".492",".497","0.3","-0.3","4","","Free Agency","9H/7"
"444","Patrick Mazeika*","28","NYM","24","72","-5","-1","0","0","1","-5","-0.5","2","-2","-0.3",".480",".497","-0.3","0.1","-2","","Amateur Draft","2/H3"
"445","James McCann","32","NYM","55","173","-9","0","-1","-1","3","-7","-0.7","6","-1","-0.1",".488",".496","0.0","0.3","0","$8,150,000","Free Agency","2/3H"
"446","Jake McCarthy*","24","ARI","89","311","10","3","2","-2","-3","10","1.1","11","21","2.1",".512",".506","2.3","-0.5","23","","Amateur Draft","978DH"
"447","Shane McClanahan*","25","TBR","0","0","0","0","0","0","0","0","","0","0","","","","","","0","","Amateur Draft","1"
"448","Chas McCormick","27","HOU","108","368","0","-1","0","2","-1","0","0.0","13","13","1.2",".500",".500","1.0","0.0","11","","Amateur Draft","*789/HD"
"449","Andrew McCutchen","35","MIL","125","540","0","-2","0","4","-8","-6","-0.6","18","12","1.1",".495",".496","0.7","-0.4","8","$8,500,000","Free Agency","D79/8H"
"450","Mickey McDonald#","27","OAK","4","6","0","0","0","0","0","-1","-0.1","0","0","0.0",".486",".500","0.0","0.0","0","","Amateur Draft","/H8D9"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"451","Reese McGuire*","27","2TM","79","245","-4","0","0","1","5","1","0.1","8","10","0.9",".502",".499","0.8","0.6","9","","Traded","2/HD1"
"452","Ryan McKenna","25","BAL","94","158","-3","2","0","6","-3","1","0.1","5","7","0.6",".501",".501","0.0","0.3","1","","Amateur Draft","7H98/D1"
"453","Billy McKinney*","27","OAK","23","57","-7","-1","0","0","-1","-9","-1.0","2","-7","-0.8",".456",".494","-0.8","-0.1","-7","$700,000","Free Agency","9/3H7D"
"454","Zach McKinstry*","27","2TM","46","140","-5","0","1","0","1","-3","-0.3","5","2","0.1",".493",".498","0.1","0.1","2","","Traded","54/H69D7"
"455","Ryan McMahon*","27","COL","140","550","-3","0","0","9","4","9","1.1","19","28","2.8",".507",".506","1.8","1.4","19","$5,000,000","Amateur Draft","*5/43DH"
"456","Jeff McNeil*","30","NYM","136","539","19","2","2","5","1","29","3.1","18","47","4.8",".522",".518","4.2","0.7","42","$3,000,000","Amateur Draft","47/9DH5"
"457","Austin Meadows*","27","DET","36","147","1","-1","0","4","-1","2","0.2","5","7","0.7",".506",".501","0.3","0.3","3","","Traded","97/DH"
"458","Adonis Medina","25","NYM","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Purchased","1"
"459","Francisco Mejia#","26","TBR","85","278","-2","-3","-1","0","5","-1","-0.1","10","9","0.9",".499",".500","0.9","0.5","9","$1,455,000","Traded","2H/D3"
"460","Mark Melancon","37","ARI","2","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$6,000,000","Free Agency","1"
"461","MJ Melendez*","23","KCR","115","471","0","-1","2","-10","2","-8","-0.8","16","9","0.7",".493",".495","1.9","-0.9","18","","Amateur Draft","2D79/H"
"462","Danny Mendick","28","CHW","31","106","2","0","0","-2","1","2","0.3","4","6","0.6",".508",".502","0.8","-0.1","8","","Amateur Draft","6/457H"
"463","Joey Meneses","30","WSN","42","182","11","0","-2","-6","-2","1","0.1","6","7","0.7",".503",".501","1.3","-0.8","13","","Free Agency","39/7H"
"464","Oscar Mercado","27","2TM","55","128","-3","0","0","1","-2","-5","-0.5","4","0","-0.1",".491",".497","-0.2","-0.1","-1","","Waivers","97H/8D"
"465","Yermin Mercedes","29","SFG","31","83","0","0","0","-2","-2","-4","-0.4","3","-1","-0.1",".487",".498","0.1","-0.4","1","","Waivers","D/H732"
"466","Whit Merrifield","33","2TM","125","499","-17","1","-1","-8","1","-23","-2.6","16","-7","-1.0",".480",".491","-0.1","-0.8","1","$7,000,000","Amateur Draft","498/HD731"
"467","Jake Meyers","26","HOU","47","149","-7","-1","1","3","1","-3","-0.3","5","3","0.2",".494",".498","-0.1","0.4","0","","Amateur Draft","8/H"
"468","Keynan Middleton","28","ARI","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","$100,000","","1"
"469","Brad Miller*","32","TEX","81","241","-10","-1","0","-7","-3","-20","-2.2","8","-12","-1.4",".473",".486","-0.7","-1.1","-5","$6,000,000","Free Agency","75DH/9"
"470","Owen Miller","25","CLE","123","451","-8","1","1","0","-5","-10","-1.1","15","5","0.4",".491",".493","0.4","-0.6","5","","Traded","34DH/5"
"471","Alec Mills","30","CHC","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Traded","/1"
"472","Wyatt Mills","27","SEA","1","0","0","0","0","0","0","0","0.0","0","0","0.0",".500",".500","0.0","0.0","0","","Amateur Draft","1"
"473","Jose Miranda","24","MIN","111","430","9","-1","-3","-4","-4","-3","-0.3","15","12","1.1",".497",".498","1.6","-0.9","16","","Amateur Draft","35D/H"
"474","Calvin Mitchell*","23","PIT","58","197","-5","1","0","-2","-2","-9","-0.9","7","-2","-0.3",".484",".494","-0.1","-0.4","0","","Amateur Draft","9/DH"
"475","Garrett Mitchell*","23","MIL","17","44","-2","1","0","1","0","1","0.1","2","2","0.3",".506",".501","0.1","0.2","1","","Amateur Draft","8/H"
"Rk","Name","Age","Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Pos Summary"
"476","Yadier Molina","39","STL","73","258","-12","-2","-1","4","5","-6","-0.6","9","3","0.2",".491",".496","-0.3","1.0","-1","$10,000,000","Free Agency","2/13"
"477","Yoan Moncada#","27","CHW","92","383","-10","0","2","3","2","-2","-0.3","13","11","1.0",".497",".499","0.7","0.6","8","$13,800,000","Traded","5/H"
"478","Adalberto MondesÃ­#","26","KCR","15","54","-7","1","0","1","1","-4","-0.4","2","-2","-0.2",".473",".498","-0.3","0.2","-3","$3,000,000","Amateur Free Agent","6"
"479","Mickey Moniak*","24","2TM","31","94","-6","0","0","-4","0","-9","-1.0","3","-6","-0.7",".468",".497","-0.3","-0.4","-2","","Traded","/78H9"
