"Name","WAR","G...8","AB","R","H...11","HR...12","RBI","SB","BB...15","BA","OBP","SLG","OPS","W","L","ERA","WHIP","GS","SV","IP","H_A","HR_A","BB_A","SO_A","yearID","playerID","MVPCan"
"Shoeless Joe Jackson",7.6,148,528,109,197,7,71,26,80,0.373,0.46,0.551,1.011,0,0,0,0,0,0,0,0,0,0,0,1913,"jacksjo01","yes"
"Eddie Collins",9,148,534,125,184,3,73,55,85,0.345,0.441,0.453,0.894,0,0,0,0,0,0,0,0,0,0,0,1913,"collied01","yes"
"Tris Speaker",8.4,141,520,94,189,3,71,46,65,0.363,0.441,0.533,0.974,0,0,0,0,0,0,0,0,0,0,0,1913,"speaktr01","yes"
"Home Run Baker",7.9,149,564,116,190,12,117,34,63,0.337,0.413,0.493,0.906,0,0,0,0,0,0,0,0,0,0,0,1913,"bakerfr01","yes"
"Chick Gandil",3.9,148,550,61,175,1,72,22,36,0.318,0.363,0.398,0.762,0,0,0,0,0,0,0,0,0,0,0,1913,"gandich01","yes"
"Stuffy McInnis",5.4,148,543,79,176,4,90,16,45,0.324,0.382,0.416,0.798,0,0,0,0,0,0,0,0,0,0,0,1913,"mcinnst01","yes"
"Wally Schang",2.8,79,207,32,55,3,30,4,34,0.266,0.392,0.415,0.807,0,0,0,0,0,0,0,0,0,0,0,1913,"schanwa01","yes"
"Jack Barry",4.8,134,455,62,125,3,85,15,44,0.275,0.349,0.365,0.714,0,0,0,0,0,0,0,0,0,0,0,1913,"barryja01","yes"
"Clyde Milan",4.3,154,579,92,174,3,54,75,58,0.301,0.367,0.378,0.745,0,0,0,0,0,0,0,0,0,0,0,1913,"milancl01","yes"
"Nap Lajoie",5.3,137,465,66,156,1,68,17,33,0.335,0.398,0.404,0.802,0,0,0,0,0,0,0,0,0,0,0,1913,"lajoina01","yes"
"Donie Bush",3.6,152,597,98,150,1,40,44,80,0.251,0.344,0.322,0.665,0,0,0,0,0,0,0,0,0,0,0,1913,"bushdo01","yes"
