Name,yearID,playerID,MVPCan
J.D. Martinez,2015,martijd02,yes
J.D. Martinez,2017,martijd02,yes
J.D. Martinez,2018,martijd02,yes
J.D. Martinez,2019,martijd02,yes
Pedro Martinez,1997,martipe02,yes
Pedro Martinez,1999,martipe02,yes
Pedro Martinez,2000,martipe02,yes
Pedro Martinez,2002,martipe02,yes
Pedro Martinez,2003,martipe02,yes
Tino Martinez,2001,martiti02,yes
Merrill May,1940,maypi01,yes
Mike McCormick,1967,mccormi03,yes
George McQuinn,1939,mcquige02,yes
George McQuinn,1944,mcquige02,yes
George McQuinn,1947,mcquige02,yes
Oscar Melillo,1926,melilsk01,yes
Oscar Melillo,1931,melilsk01,yes
Oscar Melillo,1933,melilsk01,yes
George Metkovich,1952,metkoca01,yes
Jack Meyers,1911,meyerch01,yes
Jack Meyers,1912,meyerch01,yes
Jack Meyers,1913,meyerch01,yes
Dots Miller,1914,milledo02,yes
Eddie Miller,1939,milleed03,yes
Eddie Miller,1940,milleed03,yes
Eddie Miller,1942,milleed03,yes
Eddie Miller,1943,milleed03,yes
Eddie Miller,1944,milleed03,yes
Eddie Miller,1945,milleed03,yes
Eddie Miller,1947,milleed03,yes
Eddie Miller,1948,milleed03,yes
Jo-Jo Moore,1938,moorejo02,yes
Joe Morgan,1972,morgajo02,yes
Joe Morgan,1973,morgajo02,yes
Joe Morgan,1974,morgajo02,yes
Joe Morgan,1975,morgajo02,yes
Joe Morgan,1976,morgajo02,yes
Joe Morgan,1982,morgajo02,yes
George Moriarty,1914,moriage02,yes
Jack Morris,1983,morrija02,yes
Jack Morris,1987,morrija02,yes
Jack Morris,1991,morrija02,yes
Jack Morris,1992,morrija02,yes
Dale Murphy,1980,murphda05,yes
Dale Murphy,1982,murphda05,yes
Dale Murphy,1983,murphda05,yes
Dale Murphy,1984,murphda05,yes
Dale Murphy,1985,murphda05,yes
Dale Murphy,1986,murphda05,yes
Dale Murphy,1987,murphda05,yes
Daniel Murphy,2016,murphda08,yes
Daniel Murphy,2017,murphda08,yes
Johnny Murphy,1943,murphjo04,yes
Eddie Murray,1979,murraed02,yes
Eddie Murray,1980,murraed02,yes
Eddie Murray,1981,murraed02,yes
Eddie Murray,1982,murraed02,yes
Eddie Murray,1983,murraed02,yes
Eddie Murray,1984,murraed02,yes
Eddie Murray,1985,murraed02,yes
Eddie Murray,1990,murraed02,yes
Pete O'Brien,1986,o'bripe03,yes
Danny O'Connell,1953,o'conda02,yes
Lefty O'Doul,1929,o'doule01,yes
Lefty O'Doul,1931,o'doule01,yes
Lefty O'Doul,1932,o'doule01,yes
Bob O'Farrell,1926,o'farbo01,yes
Matt Olson,2021,olsonma02,yes
Paul O'Neill,1990,o'neipa01,yes
Paul O'Neill,1994,o'neipa01,yes
Paul O'Neill,1995,o'neipa01,yes
Paul O'Neill,1997,o'neipa01,yes
Paul O'Neill,1998,o'neipa01,yes
Steve O'Neill,1913,o'neist01,yes
Steve O'Neill,1922,o'neist01,yes
Tyler O'Neill,2021,oneilty01,yes
Frank O'Rourke,1927,o'roufr01,yes
Jim O'Toole,1961,o'tooji01,yes
Camilo Pascual,1962,pascuca02,yes
Camilo Pascual,1963,pascuca02,yes
Salvador Perez,2020,perezsa02,yes
Salvador Perez,2021,perezsa02,yes
Tommy Pham,2017,phamth01,yes
Billy Pierce,1953,piercbi02,yes
Billy Pierce,1955,piercbi02,yes
Billy Pierce,1956,piercbi02,yes
Billy Pierce,1957,piercbi02,yes
A.J. Pierzynski,2006,pierza.01,yes
Darrell Porter,1979,porteda02,yes
J.J. Putz,2007,putzjj01,yes
Manny Ramirez,1998,ramirma02,yes
Manny Ramirez,1999,ramirma02,yes
Manny Ramirez,2000,ramirma02,yes
Manny Ramirez,2001,ramirma02,yes
Manny Ramirez,2002,ramirma02,yes
Manny Ramirez,2003,ramirma02,yes
Manny Ramirez,2004,ramirma02,yes
Manny Ramirez,2005,ramirma02,yes
Manny Ramirez,2006,ramirma02,yes
Manny Ramirez,2008,ramirma02,yes
Jim Ray Hart,1964,hartji01,yes
Jim Ray Hart,1965,hartji01,yes
Jim Ray Hart,1967,hartji01,yes
J.T. Realmuto,2019,realmjt01,yes
